skill_name,skill_type
Alstom ESARAD,Technology/Tool
Alstom ESATAN,Technology/Tool
AltaPoint Data Systems AltaPoint Dental,Technology/Tool
AltaPoint Data Systems AltaPoint Vision,Technology/Tool
Altair Engineering MotionSolve,Technology/Tool
Alteer Office,Technology/Tool
Alteer Premiere,Technology/Tool
Altera MAX,Technology/Tool
Altera Quartus II,Technology/Tool
Altera hardware description language AHDL,Technology/Tool
Alteryx software,Technology/Tool
Altia Design,Technology/Tool
Altium Designer,Technology/Tool
Altova MapForce,Technology/Tool
Alua Software Paddock Pro,Technology/Tool
Amadeus Altea Reservation,Technology/Tool
Amadeus CRS,Technology/Tool
Amazing Charts,Technology/Tool
Amazon Data Pipeline,Technology/Tool
Amazon DynamoDB,Technology/Tool
Amazon Elastic Compute Cloud EC2,Technology/Tool
Amazon Elastic Container Service ECS,Technology/Tool
Amazon Kinesis,Technology/Tool
Amazon Redshift,Technology/Tool
Amazon Simple Storage Service S3,Technology/Tool
Amazon Web Services AWS CloudFormation,Technology/Tool
Amazon Web Services AWS SageMaker,Technology/Tool
Amazon Web Services AWS software,Technology/Tool
Amber Road,Technology/Tool
Ambient Design ArtRage,Technology/Tool
Amcom AUTOS2000,Technology/Tool
American Association of Critical Care Nurses AACN Medicopeia,Technology/Tool
American Data Systems PAWS Veterinary Practice Management,Technology/Tool
American Glazing Software AGS WindowPricer,Technology/Tool
American HealthTech Financial,Technology/Tool
American LegalNet USCourtForms,Technology/Tool
American Legalnet Smart Dockets,Technology/Tool
American Legalnet eDockets,Technology/Tool
American Medical Association CodeManager,Technology/Tool
American Medical Billing Software PMA,Technology/Tool
American National Standards Institute ANSI C,Technology/Tool
American Orthodontics Compu-Ceph,Technology/Tool
American Orthodontics Photo-Eze,Technology/Tool
American Orthotic and Prosthetic Association CodingPro,Technology/Tool
American Precision Instruments Regit,Technology/Tool
American Printing House for the Blind Learn Keys,Technology/Tool
American Printing House for the Blind Talking Typer,Technology/Tool
American Riviera Magtax,Technology/Tool
American Sign Language ASL browser,Technology/Tool
American Sign Language Browser,Technology/Tool
Amkai AmkaiCharts,Technology/Tool
AmoK Translator,Technology/Tool
Amortization calculation software,Technology/Tool
Amortization loan software,Technology/Tool
Amtec Engineering Tecplot,Technology/Tool
Anacomp CaseLogistix,Technology/Tool
Anadigm Designer2 EDA,Technology/Tool
Analog Devices VisualDSP++,Technology/Tool
Analyse-it,Technology/Tool
Analysis and Visualization of Time Sequences AVTS,Technology/Tool
Analysis and building software,Technology/Tool
Analysis of Smoke Control Systems ASCOS,Technology/Tool
Analytical Graphics STK Expert Edition,Technology/Tool
Analytical software,Technology/Tool
Analyze,Technology/Tool
AnalyzerXL,Technology/Tool
Anand Systems ASI FrontDesk,Technology/Tool
Anasazi Software Assessment and Treatment Plan Systems,Technology/Tool
Anasazi Software Client Data System,Technology/Tool
Anatomic pathology software,Technology/Tool
AndersonBell Abstat,Technology/Tool
Anesthesia machine software,Technology/Tool
Angoss KnowledgeSEEKER,Technology/Tool
Animal Intelligence Software Animal Intelligence,Technology/Tool
Animal Shelter Manager,Technology/Tool
Animation software,Technology/Tool
Aninoquisi MesoTRAC,Technology/Tool
Anisotropic Crystalline Etch Simulation ACES,Technology/Tool
Annuities analysis software,Technology/Tool
Anodas Software Limited Phoenix,Technology/Tool
Ansible software,Technology/Tool
Ansoft HFSS,Technology/Tool
Ansoft Simplorer,Technology/Tool
Ansys Fluent,Technology/Tool
Antek HealthWare LabDAQ,Technology/Tool
Antenna House,Technology/Tool
AnthillPro,Technology/Tool
Anthropometric databases,Technology/Tool
Anti-Trojan software,Technology/Tool
Anti-phishing software,Technology/Tool
Anti-spyware software,Technology/Tool
Antivirus software,Technology/Tool
Anvil Studio,Technology/Tool
Aonix Software Through Pictures,Technology/Tool
ApE A Plasmid Editor,Technology/Tool
Apache Accumulo,Technology/Tool
Apache Airflow,Technology/Tool
Apache Ant,Technology/Tool
Apache Avro,Technology/Tool
Apache Cassandra,Technology/Tool
Apache Continuum,Technology/Tool
Apache Flex,Technology/Tool
Apache Flume,Technology/Tool
Apache Groovy,Technology/Tool
Apache Gump,Technology/Tool
Apache HBase,Technology/Tool
Apache HTTP Server,Technology/Tool
Apache Hadoop,Technology/Tool
Apache Hadoop YARN,Technology/Tool
Apache Hive,Technology/Tool
Apache JMeter,Technology/Tool
Apache Kafka,Technology/Tool
Apache MXNet,Technology/Tool
Apache Mahout,Technology/Tool
Apache Maven,Technology/Tool
Apache Oozie,Technology/Tool
Apache Pig,Technology/Tool
Apache Solr,Technology/Tool
Apache Spark,Technology/Tool
Apache Sqoop,Technology/Tool
Apache Struts,Technology/Tool
Apache Subversion SVN,Technology/Tool
Apache Tomcat,Technology/Tool
Apatar,Technology/Tool
Apex Business Software iBenefits,Technology/Tool
Apex Business Software iHR,Technology/Tool
Apex IV Assessor,Technology/Tool
Apex IV Fee Appraiser,Technology/Tool
Apex MobileSketch,Technology/Tool
Apfloat,Technology/Tool
